COD_CNAE;DISC_CNAE;CLA_RISCO
3317102;Manutenção e reparação de embarcações para esporte e lazer;Baixo Risco
3319800;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;Baixo Risco
3321000;Instalação de máquinas e equipamentos industriais;Baixo Risco
3329599;Instalação de outros equipamentos não especificados anteriormente;Baixo Risco
3511501;Geração de energia elétrica;Baixo Risco
3512300;Transmissão de energia elétrica;Baixo Risco
3513100;Comércio atacadista de energia elétrica;Baixo Risco
3514000;Distribuição de energia elétrica;Baixo Risco
3520401;"Produção de gás; processamento de gás natural";Baixo Risco
3520402;Distribuição de combustíveis gasosos por redes urbanas;Baixo Risco
3530100;Produção e distribuição de vapor, água quente e ar condicionado;Baixo Risco
3600601;Captação, tratamento e distribuição de água;Baixo Risco
3701100;Gestão de redes de esgoto;Baixo Risco
3831901;Recuperação de sucatas de alumínio;Baixo Risco
3839401;Usinas de compostagem;Baixo Risco
3839499;Recuperação de materiais não especificados anteriormente;Baixo Risco
3900500;Descontaminação e outros serviços de gestão de resíduos;Baixo Risco
4110700;Incorporação de empreendimentos imobiliários;Baixo Risco
4120400;Construção de edifícios;Baixo Risco
4211101;Construção de rodovias e ferrovias;Baixo Risco
4211102;Pintura para sinalização em pistas rodoviárias e aeroportos;Baixo Risco
4212000;Construção de obras de arte especiais;Baixo Risco
4213800;Obras de urbanização - ruas, praças e calçadas;Baixo Risco
4221901;Construção de barragens e represas para geração de energia elétrica;Baixo Risco
4221902;Construção de estações e redes de distribuição de energia elétrica;Baixo Risco
4221903;Manutenção de redes de distribuição de energia elétrica;Baixo Risco
4221904;Construção de estações e redes de telecomunicações;Baixo Risco
4221905;Manutenção de estações e redes de telecomunicações;Baixo Risco
4222702;Obras de irrigação;Baixo Risco
4223500;Construção de redes de transportes por dutos, exceto para água e esgoto;Baixo Risco
4291000;Obras portuárias, marítimas e fluviais;Baixo Risco
4292801;Montagem de estruturas metálicas;Baixo Risco
4292802;Obras de montagem industrial;Baixo Risco
4299501;Construção de instalações esportivas e recreativas;Baixo Risco
4299599;Outras obras de engenharia civil não especificadas anteriormente;Baixo Risco
4311801;Demolição de edifícios e outras estruturas;Baixo Risco
4311802;Preparação de canteiro e limpeza de terreno;Baixo Risco
4312600;Perfurações e sondagens;Baixo Risco
4313400;Obras de terraplenagem;Baixo Risco
4319300;Serviços de preparação do terreno não especificados anteriormente;Baixo Risco
4321500;Instalação e manutenção elétrica;Baixo Risco
4322301;Instalações hidráulicas, sanitárias e de gás;Baixo Risco
4322303;Instalações de sistema de prevenção contra incêndio;Baixo Risco
4329101;Instalação de painéis publicitários;Baixo Risco
4329102;Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre;Baixo Risco
4329103;Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes;Baixo Risco
4329105;Tratamentos térmicos, acústicos ou de vibração;Baixo Risco
4329199;Outras obras de instalações em construções não especificadas anteriormente;Baixo Risco
4330401;Impermeabilização em obras de engenharia civil;Baixo Risco
4330402;Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material;Baixo Risco
4330403;Obras de acabamento em gesso e estuque;Baixo Risco
4330404;Serviços de pintura de edifícios em geral;Baixo Risco
4330405;Aplicação de revestimentos e de resinas em interiores e exteriores;Baixo Risco
4330499;Outras obras de acabamento da construção;Baixo Risco
